name,bio,wiki_link,date_of_birth,more
Albert Einstein,Physicist known for the theory of relativity,https://en.wikipedia.org/wiki/Albert_Einstein,1879-03-14,Nobel Prize in Physics
Frida Kahlo,Mexican painter known for her self-portraits,https://en.wikipedia.org/wiki/Frida_Kahlo,1907-07-06,Famous for surreal and vibrant self-portraits
Bertrand Russell,British philosopher and logician,https://en.wikipedia.org/wiki/Bertrand_Russell,1872-05-18,Nobel Prize in Literature
Sandro Botticelli,Italian painter of the Early Renaissance,https://en.wikipedia.org/wiki/Sandro_Botticelli,1445-03-01,Famous for 'The Birth of Venus'
Oscar Wilde,Irish poet and playwright,https://en.wikipedia.org/wiki/Oscar_Wilde,1854-10-16,Famous for 'The Picture of Dorian Gray'
Thomas Wolfe, American novelist,https://en.wikipedia.org/wiki/Thomas_Wolfe, 1900-10-03,Author of 'Look Homeward and 'Angel'
Boris Grebenshchikov,Russian rock musician and songwriter,https://en.wikipedia.org/wiki/Boris_Grebenshchikov,1953-11-27,Founder of the band Aquarium
Pyotr Ilyich Tchaikovsky,Russian composer of the Romantic period,https://en.wikipedia.org/wiki/Pyotr_Ilyich_Tchaikovsky,1840-05-07,Composed famous ballets like 'Swan Lake' and 'The Nutcracker'
Zhanna Aguzarova,Russian pop-rock singer and former vocalist of the band Bravo,https://en.wikipedia.org/wiki/Zhanna_Aguzarova,1962-07-07,A major figure in the Soviet rock scene
Cleopatra,Last active ruler of the Ptolemaic Kingdom of Egypt,https://en.wikipedia.org/wiki/Cleopatra,69-BC,Renowned for her intelligence and political acumen
Plato,Classical Greek philosopher and founder of the Academy,https://en.wikipedia.org/wiki/Plato,428-BC,Student of Socrates and teacher of Aristotle
Socrates,Classical Greek philosopher known for his contributions to ethics,https://en.wikipedia.org/wiki/Socrates,470-BC,Founder of Western philosophy
Amy Winehouse, 'British singer-songwriter known for her deep, expressive vocals',https://en.wikipedia.org/wiki/Amy_Winehouse,1983-09-14,Known for 'Back to Black'
Diana Arbenina,Russian rock singer, leader of the band Night Snipers,https://en.wikipedia.org/wiki/Diana_Arbenina,1974-07-08,Prominent figure in Russian rock music
Renata Litvinova,Russian actress, director, and screenwriter,https://en.wikipedia.org/wiki/Renata_Litvinova,1967-01-12,Known for her eccentric acting style and films
Laurie Anderson,American avant-garde artist and experimental musician,https://en.wikipedia.org/wiki/Laurie_Anderson,1947-06-05,Known for 'O Superman'
Jean Iris Murdoch,British novelist and philosopher,https://en.wikipedia.org/wiki/Iris_Murdoch,1919-07-15,Famous for her philosophical novels
Takeo Suzuki,Japanese artist and painter,https://en.wikipedia.org/wiki/Takeo_Suzuki_(artist),Unknown,Famous for blending Japanese traditional and modern styles
Quentin Tarantino,American filmmaker and screenwriter,https://en.wikipedia.org/wiki/Quentin_Tarantino,1963-03-27,Known for 'Pulp Fiction' and 'Kill Bill'
Uma Thurman,American actress and model,https://en.wikipedia.org/wiki/Uma_Thurman,1970-04-29,Known for her roles in 'Pulp Fiction' and 'Kill Bill'
Grace Jones,Jamaican singer, actress, and model,https://en.wikipedia.org/wiki/Grace_Jones,1948-05-19,Known for her androgynous image and 'Slave to the Rhythm'
